chromosome,left,right
1p,55550,121607560
1q,143276370,248924793
2p,12994,92117116
2q,94662898,242148846
3p,19435,90427083
3q,93808865,198147657
4p,12906,49627555
4q,51817441,190107490
5p,20583,46404689
5q,50151950,181288809
6p,92012,58452174
6q,60342556,181288809
7p,35326,57951003
7q,61072231,159334084
8p,213784,43936548
8q,45958184,145075770
9p,40910,38743705
9q,68223205,138219529
10p,26829,38861089
10q,41705580,133766368
11p,198062,50813284
11q,54541695,135075628
12p,45488,34702654
12q,37463405,133202210
13q,18447081,114341521
14q,19198131,106880170
15q,19809728,101965905
16p,34045,36034953
16q,46382830,90097180
17p,163252,22743028
17q,26950502,83087393
18p,11523,15410006
18q,20934317,80257297
19p,253938,24412774
19q,27244449,58585793
20p,81154,26328619
20q,30187708,64318092
21q,12968320,46680243
22q,15287921,50791377
